Description,Price,ImageLink,Rating,ReviewCount,Url
"Office Chair Ergonomic Cheap Desk Chair Mesh Computer Chair Lumbar Support Modern Executive Adjustable Stool Rolling Swivel Chair for Back Pain, Black",$33.99,https://m.media-amazon.com/images/I/61v2Wcz3VpL._AC_UL320_.jpg,4.3 out of 5 stars,"44,130",https://www.amazon.com/Ergonomic-Computer-Office-Midback-Chair/dp/B0147WIC7E/ref=sr_1_28?keywords=chairs&qid=1662880427&sr=8-28
"Amazon Basics Metal Dining Chairs - Set of 4, Dark Grey",$148.50,https://m.media-amazon.com/images/I/71PVMCmLnjS._AC_UL320_.jpg,4.6 out of 5 stars,475,https://www.amazon.com/Amazon-Basics-Metal-Dining-Chairs/dp/B08XWM9BQR/ref=sr_1_29?keywords=chairs&qid=1662880427&sr=8-29
"Ergonomic Office Chair, KERDOM Breathable Mesh Desk Chair, Lumbar Support Computer Chair with Headrest and Flip-up Arms, Swivel Task Chair, Adjustable Height Gaming Chair(Black)",$179.99,https://m.media-amazon.com/images/I/71hdFjDreyL._AC_UL320_.jpg,4.3 out of 5 stars,365,https://www.amazon.com/Ergonomic-KERDOM-Breathable-Computer-Adjustable/dp/B0B42MH6YR/ref=sr_1_30?keywords=chairs&qid=1662880427&sr=8-30
"OFM ESS Collection Bonded Leather Executive Side Chair, in Black (ESS-9010)",$151.59,https://m.media-amazon.com/images/I/71bqETlUfYL._AC_UL320_.jpg,4.6 out of 5 stars,"3,128",https://www.amazon.com/Essentials-Leather-Executive-Side-Chair/dp/B01LXCC9H8/ref=sr_1_31?keywords=chairs&qid=1662880427&sr=8-31
"Giantex Set of 5 Conference Chair with Ergonomic Upholstered Seat,Elegant and Stackable Design for Office,Waiting Room, Guest Room, 5 Pieces Reception Executive Chair Set (31.5 H)",$339.99,https://m.media-amazon.com/images/I/61KXN0H3GDL._AC_UL320_.jpg,4.2 out of 5 stars,373,https://www.amazon.com/Giantex-Conference-Elegant-Waiting-Reception/dp/B01MT17XFF/ref=sr_1_32?keywords=chairs&qid=1662880427&sr=8-32
Furniwell Dining Chairs Fabric Upholstered Parson Urban Style Kitchen Side Padded Chair with Solid Wood Legs Set of 4 (Beige),$119.99,https://m.media-amazon.com/images/I/81D-fq18aTL._AC_UL320_.jpg,3.8 out of 5 stars,"2,309",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07653743GJZKQAN12X3J&url=%2FFurniwell-Dining-Chairs-Upholstered-Kitchen%2Fdp%2FB07SJFXCXN%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dchairs%26qid%3D1662880427%26sr%3D8-33-spons%26psc%3D1&qualifier=1662880427&id=3740966683477972&widgetName=sp_mtf
Set of 6 Chairs for Dining Room Mid Century Modern Fabric Upholstered Living Chairs,$309.99,https://m.media-amazon.com/images/I/81KGUxWXpqL._AC_UL320_.jpg,3.9 out of 5 stars,633,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08244452HLJI97SBG4KJ&url=%2FChairs-Dining-Century-Modern-Upholstered%2Fdp%2FB07TZNFWCL%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Dchairs%26qid%3D1662880427%26sr%3D8-34-spons%26psc%3D1&qualifier=1662880427&id=3740966683477972&widgetName=sp_mtf
DAGONHIL Modern Walnut Dining Chair Armrests Wooden Chair with Leather Cushion Backrest for Kitchen Dining Room(Pack 1),$89.99,https://m.media-amazon.com/images/I/71BcKYHofcL._AC_UL320_.jpg,4.2 out of 5 stars,74,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03675582NR1BRABBOTLB&url=%2FDAGONHIL-Armrests-Leather-Cushion-Backrest%2Fdp%2FB085G7889W%2Fref%3Dsr_1_35_sspa%3Fkeywords%3Dchairs%26qid%3D1662880427%26sr%3D8-35-spons%26psc%3D1&qualifier=1662880427&id=3740966683477972&widgetName=sp_mtf
Milliard Cozy Chair/Faux Fur Saucer Chair for Bedroom/X-Large (Blue),$119.99,https://m.media-amazon.com/images/I/617+xmB+iFL._AC_UL320_.jpg,4.4 out of 5 stars,"4,638",https://www.amazon.com/Milliard-Chair-Saucer-Bedroom-X-Large/dp/B08L6ZN972/ref=sr_1_36?keywords=chairs&qid=1662880427&sr=8-36
"High-Back Gaming Chair PC Office Chair Computer Racing Chair PU Desk Task Chair Ergonomic Executive Swivel Rolling Chair with Lumbar Support for Back Pain Women, Men (White)",$99.98,https://m.media-amazon.com/images/I/61t4mpabO+L._AC_UL320_.jpg,4.5 out of 5 stars,"15,408",https://www.amazon.com/High-Back-Chair-Office-Ergonomic-Executive/dp/B07KJYY9BD/ref=sr_1_37?keywords=chairs&qid=1662880427&sr=8-37
"Ergonomic Office Chair - Home Desk Mesh Chair with Fixed Armrest, Executive Computer Chair with Soft Foam Seat Cushion and Lumbar Support, Grey",$76.00,https://m.media-amazon.com/images/I/71Gp-Lx1XGL._AC_UL320_.jpg,4.4 out of 5 stars,55,https://www.amazon.com/Ergonomic-Office-Chair-Executive-Computer/dp/B0B5XM19GZ/ref=sr_1_38?keywords=chairs&qid=1662880427&sr=8-38
"High Back Office Chair- Flip Arms Adjustable Built-in Lumbar Support, Executive Computer Desk Chair Work Chairs, Thick Padded Strong Metal Base Quiet Wheels, Ergonomic Design for Back Pain",$249.99,https://m.media-amazon.com/images/I/61hzqDQFvDL._AC_UL320_.jpg,4.4 out of 5 stars,50,https://www.amazon.com/Adjustable-Support-Executive-Computer-Ergonomic/dp/B09YRHMQN8/ref=sr_1_39?keywords=chairs&qid=1662880427&sr=8-39
"CangLong Leisure Modern Living Dining Room Accent Arm Chairs Club Guest with Solid Wood Legs, Set of 2, Grey",$209.10,https://m.media-amazon.com/images/I/61WDGH0s49L._AC_UL320_.jpg,4.2 out of 5 stars,114,https://www.amazon.com/CangLong-Leisure-Modern-Living-Dining/dp/B0853M3VLP/ref=sr_1_40?keywords=chairs&qid=1662880427&sr=8-40
"Amazon Basics Low-Back, Upholstered Mesh, Adjustable, Swivel Computer Office Desk Chair, Black",$65.93,https://m.media-amazon.com/images/I/71yxAKCrQrL._AC_UL320_.jpg,4.5 out of 5 stars,"18,670",https://www.amazon.com/AmazonBasics-Low-Back-Computer-Chair-Black/dp/B01D7P5BFS/ref=sr_1_41?keywords=chairs&qid=1662880427&sr=8-41
